feature,importance
Pcom__radius__q3__max,0.025888787363029263
Pcom__radius__q3__mean,0.021109261839020777
Pcom__radius__median__min,0.018903713145419117
Pcom__radius__median__mean,0.01836533840239848
Pcom__radius__q1__min,0.018094666903690656
Pcom__radius__median__max,0.017269170939457533
Pcom__radius__mean__min,0.016862232968261268
Pcom__radius__mean__mean,0.015771509746949467
Pcom__radius__q3__min,0.01560468795394551
Pcom__radius__min__mean,0.015361373134937788
Pcom__volume__min,0.014718173351534946
Pcom__radius__q1__max,0.014276766980870405
Pcom__radius__max__max,0.014132289170148993
Pcom__radius__mean__max,0.014041676664314892
Pcom__radius__q1__mean,0.013606614260211071
BA_bifurcation__bifurcation__radius_child1__max,0.013117793938889254
Pcom__radius__min__max,0.012862266431742984
Pcom__volume__mean,0.012788680428420917
Pcom__radius__max__mean,0.012786353942258372
BA_bifurcation__angles__BA/L-PCA__mean,0.011496267724396497
Pcom__volume__max,0.011494396673314597
Pcom_bifurcation__bifurcation__points_angle__std,0.010642800207409873
Pcom__radius__min__min,0.010544164363110786
ICA_bifurcation__bifurcation__points_radius__std,0.010059525297372768
BA_bifurcation__bifurcation__radius_child1__mean,0.00950872980359027
BA_bifurcation__angles__BA/L-PCA__max,0.009422284278840967
Pcom__radius__max__min,0.009001024873787407
ICA_bifurcation__bifurcation__points_angle__std,0.008369095494115084
BA_bifurcation__bifurcation__radius_child2__mean,0.00784371684593971
BA_bifurcation__bifurcation__radius_child1__min,0.007436290996083363
BA_bifurcation__bifurcation__radius_child2__min,0.0068741143542135445
C7__curvature__median__min,0.0068467062531401635
Pcom_bifurcation__angles__P2/Pcom__mean,0.005712924727609165
BA_bifurcation__angles__R-PCA/L-PCA__mean,0.005588934804346033
BA__radius__min__mean,0.005286770542978585
BA_bifurcation__angles__BA/L-PCA__min,0.005004043232390094
BA_bifurcation__angles__R-PCA/L-PCA__min,0.004828180242347254
P1__radius__min__min,0.004814153685927596
ACA__curvature__q3__min,0.0047237629352255735
BA__radius__q1__min,0.004638854220730102
PCA__curvature__sd__max,0.004538767357214546
BA_bifurcation__bifurcation__radius_parent__min,0.0042756340058191095
BA_bifurcation__bifurcation__radius_parent__max,0.004063482174257277
BA__radius__median__mean,0.003982748681277482
BA__radius__max__min,0.0038028097117451844
BA_bifurcation__bifurcation__radius_child2__max,0.0037959970739287695
BA__tortuosity__max,0.0037839675658825193
ICA_bifurcation__bifurcation__points_radius__max,0.003765270404998744
BA_bifurcation__bifurcation__points_angle__min,0.0037037557191926932
C7__curvature__median__max,0.003407354839007444
P1__radius__min__mean,0.0033656887742945507
ICA__radius__median__mean,0.0033584004206601314
Pcom_bifurcation__angles__C7/Pcom__min,0.0032919821590388447
ACA__curvature__max__max,0.0032225961281084382
BA__radius__median__min,0.0032121651691876863
P1__radius__min__max,0.0032107209642595986
ICA_bifurcation__angles__MCA/ACA__min,0.0031948832513241337
A1__curvature__median__min,0.003191287714306569
PCA__curvature__sd__min,0.0031844761632060575
BA_bifurcation__bifurcation__points_radius__count,0.0031603368163109526
Pcom_bifurcation__angles__C6/Pcom__mean,0.003010858403436088
BA_bifurcation__bifurcation__dist_angle__count,0.0029241711593614213
A1__curvature__q3__mean,0.002882901990365949
