config,arm,regime,feature_index,feature_name
configs/deepsets_ispy2_pointfeat_baseline.yaml,ISPY2 baseline (curvature only),baseline,1,curvature_rad
configs/deepsets_ispy2_pointfeat_geom_topo.yaml,ISPY2 geometry + topology,geometry_topology,1,signed_distance_mm
configs/deepsets_ispy2_pointfeat_geom_topo.yaml,ISPY2 geometry + topology,geometry_topology,2,abs_signed_distance_mm
configs/deepsets_ispy2_pointfeat_geom_topo.yaml,ISPY2 geometry + topology,geometry_topology,3,inside_tumor
configs/deepsets_ispy2_pointfeat_geom_topo.yaml,ISPY2 geometry + topology,geometry_topology,4,shell_0_2mm
configs/deepsets_ispy2_pointfeat_geom_topo.yaml,ISPY2 geometry + topology,geometry_topology,5,shell_2_5mm
configs/deepsets_ispy2_pointfeat_geom_topo.yaml,ISPY2 geometry + topology,geometry_topology,6,shell_5_10mm
configs/deepsets_ispy2_pointfeat_geom_topo.yaml,ISPY2 geometry + topology,geometry_topology,7,shell_ge_10mm
configs/deepsets_ispy2_pointfeat_geom_topo.yaml,ISPY2 geometry + topology,geometry_topology,8,degree
configs/deepsets_ispy2_pointfeat_geom_topo.yaml,ISPY2 geometry + topology,geometry_topology,9,is_endpoint
configs/deepsets_ispy2_pointfeat_geom_topo.yaml,ISPY2 geometry + topology,geometry_topology,10,is_chain
configs/deepsets_ispy2_pointfeat_geom_topo.yaml,ISPY2 geometry + topology,geometry_topology,11,is_bifurcation
configs/deepsets_ispy2_pointfeat_geom_topo.yaml,ISPY2 geometry + topology,geometry_topology,12,offset_x_mm
configs/deepsets_ispy2_pointfeat_geom_topo.yaml,ISPY2 geometry + topology,geometry_topology,13,offset_y_mm
configs/deepsets_ispy2_pointfeat_geom_topo.yaml,ISPY2 geometry + topology,geometry_topology,14,offset_z_mm
configs/deepsets_ispy2_pointfeat_geom_topo.yaml,ISPY2 geometry + topology,geometry_topology,15,support_radius_mm
configs/deepsets_ispy2_pointfeat_geom_topo.yaml,ISPY2 geometry + topology,geometry_topology,16,support_radius_available
configs/deepsets_ispy2_pointfeat_geom_topo_dynamic.yaml,ISPY2 geometry + topology + dynamic,geometry_topology_dynamic,1,signed_distance_mm
configs/deepsets_ispy2_pointfeat_geom_topo_dynamic.yaml,ISPY2 geometry + topology + dynamic,geometry_topology_dynamic,2,abs_signed_distance_mm
configs/deepsets_ispy2_pointfeat_geom_topo_dynamic.yaml,ISPY2 geometry + topology + dynamic,geometry_topology_dynamic,3,inside_tumor
configs/deepsets_ispy2_pointfeat_geom_topo_dynamic.yaml,ISPY2 geometry + topology + dynamic,geometry_topology_dynamic,4,shell_0_2mm
configs/deepsets_ispy2_pointfeat_geom_topo_dynamic.yaml,ISPY2 geometry + topology + dynamic,geometry_topology_dynamic,5,shell_2_5mm
configs/deepsets_ispy2_pointfeat_geom_topo_dynamic.yaml,ISPY2 geometry + topology + dynamic,geometry_topology_dynamic,6,shell_5_10mm
configs/deepsets_ispy2_pointfeat_geom_topo_dynamic.yaml,ISPY2 geometry + topology + dynamic,geometry_topology_dynamic,7,shell_ge_10mm
configs/deepsets_ispy2_pointfeat_geom_topo_dynamic.yaml,ISPY2 geometry + topology + dynamic,geometry_topology_dynamic,8,degree
configs/deepsets_ispy2_pointfeat_geom_topo_dynamic.yaml,ISPY2 geometry + topology + dynamic,geometry_topology_dynamic,9,is_endpoint
configs/deepsets_ispy2_pointfeat_geom_topo_dynamic.yaml,ISPY2 geometry + topology + dynamic,geometry_topology_dynamic,10,is_chain
configs/deepsets_ispy2_pointfeat_geom_topo_dynamic.yaml,ISPY2 geometry + topology + dynamic,geometry_topology_dynamic,11,is_bifurcation
configs/deepsets_ispy2_pointfeat_geom_topo_dynamic.yaml,ISPY2 geometry + topology + dynamic,geometry_topology_dynamic,12,offset_x_mm
