grouping,subgroup,model,n,n_pcr,n_non_pcr,auc,ci_lo,ci_hi,n_boot_degenerate,status
her2_consensus,negative,gnn_baseline,43,18,25,0.4688888888888889,0.28728991596638653,0.6444554924242423,0,ok
her2_consensus,negative,tabular_7means_logreg,43,18,25,0.4555555555555555,0.282887585812357,0.6244620575502927,0,ok
her2_consensus,negative,tabular_38feat_logreg,43,18,25,0.3844444444444445,0.22391045548654243,0.561475563909774,0,ok
her2_consensus,negative,tabular_38feat_xgboost,43,18,25,0.5022222222222222,0.3267035984848484,0.6820183873144399,0,ok
her2_consensus,positive,gnn_baseline,31,15,16,0.4875,0.2791666666666667,0.7017428221288513,0,ok
her2_consensus,positive,tabular_7means_logreg,31,15,16,0.5833333333333333,0.3640251196172249,0.7955243221690586,0,ok
her2_consensus,positive,tabular_38feat_logreg,31,15,16,0.3875,0.19166666666666665,0.5925070028011202,0,ok
her2_consensus,positive,tabular_38feat_xgboost,31,15,16,0.4625,0.24781249999999996,0.6764906417112299,0,ok
her2_consensus,unavailable,gnn_baseline,8,0,8,,,,0,undefined_single_class
her2_consensus,unavailable,tabular_7means_logreg,8,0,8,,,,0,undefined_single_class
her2_consensus,unavailable,tabular_38feat_logreg,8,0,8,,,,0,undefined_single_class
her2_consensus,unavailable,tabular_38feat_xgboost,8,0,8,,,,0,undefined_single_class
subtype,her2_positive,gnn_baseline,31,15,16,0.4875,0.2681439393939394,0.7166666666666667,0,ok
subtype,her2_positive,tabular_7means_logreg,31,15,16,0.5833333333333333,0.3666666666666667,0.7894847412649268,0,ok
subtype,her2_positive,tabular_38feat_logreg,31,15,16,0.3875,0.17982456140350878,0.5966386554621849,0,ok
subtype,her2_positive,tabular_38feat_xgboost,31,15,16,0.4625,0.2520833333333333,0.6722689075630253,0,ok
subtype,hr_positive_her2_negative,gnn_baseline,25,7,18,0.2777777777777778,0.059523809523809534,0.5614035087719298,0,ok
subtype,hr_positive_her2_negative,tabular_7means_logreg,25,7,18,0.24603174603174605,0.06000000000000001,0.4825159489633171,0,ok
subtype,hr_positive_her2_negative,tabular_38feat_logreg,25,7,18,0.23015873015873017,0.03029545454545452,0.45588235294117646,0,ok
subtype,hr_positive_her2_negative,tabular_38feat_xgboost,25,7,18,0.4603174603174603,0.2291392543859649,0.7000000000000001,0,ok
subtype,triple_negative,gnn_baseline,18,11,7,0.6233766233766234,0.33333333333333337,0.8875000000000001,1,ok
subtype,triple_negative,tabular_7means_logreg,18,11,7,0.6363636363636364,0.3230769230769231,0.9137345679012345,1,ok
subtype,triple_negative,tabular_38feat_logreg,18,11,7,0.5714285714285714,0.2614814814814814,0.8929383116883112,0,ok
subtype,triple_negative,tabular_38feat_xgboost,18,11,7,0.48051948051948057,0.17857142857142855,0.7792207792207791,0,ok
subtype,unavailable,gnn_baseline,8,0,8,,,,0,undefined_single_class
subtype,unavailable,tabular_7means_logreg,8,0,8,,,,0,undefined_single_class
subtype,unavailable,tabular_38feat_logreg,8,0,8,,,,0,undefined_single_class
subtype,unavailable,tabular_38feat_xgboost,8,0,8,,,,0,undefined_single_class
