fold,original_feature,kept_feature,feature_block,correlation_to_kept,drop_reason,semantic_group
0,graph_totals_node_count,graph_totals_total_length_mm,graph,0.9718,near_duplicate,graph_component_0
0,graph_totals_edge_count,graph_totals_total_length_mm,graph,0.9716,near_duplicate,graph_component_0
0,per_shell_topology_shell_gt20mm_node_count,graph_totals_total_length_mm,graph,0.9513,near_duplicate,graph_component_0
0,per_shell_topology_shell_gt20mm_edge_count,graph_totals_total_length_mm,graph,0.9502,near_duplicate,graph_component_0
0,per_shell_topology_shell_gt20mm_degree_distribution_deg2,graph_totals_total_length_mm,graph,0.9487,near_duplicate,graph_component_0
0,per_shell_topology_shell_gt20mm_shell_length_mm,graph_totals_total_length_mm,graph,0.9727,near_duplicate,graph_component_0
0,per_shell_topology_shell_gt20mm_shell_volume_burden_mm3,graph_totals_total_volume_burden_mm3,graph,0.9782,near_duplicate,graph_component_1
0,tumor_burden_inside_tumor_volume_burden_mm3,normalized_ratios_inside_volume_per_tumor_voxel,graph,0.4376,near_duplicate,graph_component_2
0,tumor_burden_inside_tumor_length_mm,normalized_ratios_inside_volume_per_tumor_voxel,graph,0.396,near_duplicate,graph_component_2
0,tumor_burden_inside_tumor_volume_burden_per_tumor_mm3,normalized_ratios_inside_volume_per_tumor_voxel,graph,0.9476,near_duplicate,graph_component_2
0,boundary_crossing_crossing_edge_count,normalized_ratios_inside_volume_per_tumor_voxel,graph,0.3801,near_duplicate,graph_component_2
0,boundary_crossing_crossing_length_mm,normalized_ratios_inside_volume_per_tumor_voxel,graph,0.3769,near_duplicate,graph_component_2
0,boundary_crossing_crossing_volume_burden_mm3,normalized_ratios_inside_volume_per_tumor_voxel,graph,0.4241,near_duplicate,graph_component_2
0,boundary_crossing_crossing_length_per_tumor_mm3,normalized_ratios_inside_volume_per_tumor_voxel,graph,0.505,near_duplicate,graph_component_2
0,boundary_crossing_crossing_volume_per_tumor_mm3,normalized_ratios_inside_volume_per_tumor_voxel,graph,0.5971,near_duplicate,graph_component_2
0,per_shell_topology_inside_tumor_node_count,normalized_ratios_inside_volume_per_tumor_voxel,graph,0.3668,near_duplicate,graph_component_2
