fold,features_before_cleanup,features_after_cleanup,features_after_pruning,enet_after_stage2,enet_selected,xgb_auc,xgb_ap,enet_auc,enet_ap,before_clinical,before_tumor_size,before_morph,before_graph,before_kinematic,kept_clinical,kept_tumor_size,kept_morph,kept_graph,kept_kinematic,xgb_best_params
0,1179,1001,437,332,15,0.552905847023494,0.34994091422189877,0.5689807454513336,0.35301686731312487,1,5,40,253,702,1,4,26,98,308,"{'subsample': 0.7, 'reg_lambda': 10, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
1,1179,1001,447,299,4,0.6753223812047341,0.4514335207325754,0.5896484720014131,0.44573733929692083,1,5,40,253,702,1,4,26,100,316,"{'subsample': 0.7, 'reg_lambda': 5, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.9}"
2,1179,1001,437,329,7,0.5571678321678322,0.3484652198885877,0.55,0.38582710018348965,1,5,40,253,702,1,4,27,97,308,"{'subsample': 0.7, 'reg_lambda': 10, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
3,1179,1001,448,28,2,0.6283422459893049,0.43638046134991676,0.6757575757575758,0.4903424158464491,1,5,40,253,702,1,4,26,99,318,"{'subsample': 0.7, 'reg_lambda': 10, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 0.9}"
4,1179,1001,448,292,29,0.5438502673796792,0.3578255053304633,0.5864527629233512,0.38906427682759454,1,5,40,253,702,1,4,26,103,314,"{'subsample': 0.7, 'reg_lambda': 5, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'colsample_bytree': 0.9}"
5,1179,1001,447,30,11,0.6226815050344462,0.458530445465857,0.6684331390213744,0.4380788136201028,1,5,40,253,702,1,4,26,97,319,"{'subsample': 0.7, 'reg_lambda': 10, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.7}"
6,1179,1001,443,408,4,0.534887829005476,0.3619121004261031,0.5749867514573397,0.3962821780002831,1,5,40,253,702,1,4,26,101,311,"{'subsample': 0.7, 'reg_lambda': 10, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
7,1179,1001,448,227,11,0.5956293706293707,0.39494556934982283,0.5826923076923076,0.37803948617727234,1,5,40,253,702,1,4,26,98,319,"{'subsample': 0.7, 'reg_lambda': 10, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.05, 'colsample_bytree': 0.9}"
8,1179,1001,431,446,3,0.5131907308377897,0.3192293881026286,0.5083778966131907,0.3918632761767152,1,5,40,253,702,1,4,26,96,304,"{'subsample': 0.7, 'reg_lambda': 5, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'colsample_bytree': 0.9}"
9,1179,1001,450,41,8,0.6422459893048129,0.47398190391272943,0.7180035650623885,0.5088438517558291,1,5,40,253,702,1,4,26,101,318,"{'subsample': 0.9, 'reg_lambda': 5, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.9}"
10,1179,1001,450,364,9,0.5652711535064476,0.3539079113689792,0.5686274509803921,0.35098537227973214,1,5,40,253,702,1,4,26,99,320,"{'subsample': 0.7, 'reg_lambda': 10, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 0.9}"
11,1179,1001,443,23,3,0.6126126126126126,0.40681170815377576,0.6352234587528705,0.4405953643994118,1,5,40,253,702,1,4,26,99,313,"{'subsample': 0.7, 'reg_lambda': 10, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
12,1179,1000,453,525,3,0.4727272727272728,0.3155281216459519,0.5347902097902099,0.39128495674147706,1,5,40,253,701,1,4,26,101,321,"{'subsample': 0.9, 'reg_lambda': 1, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'colsample_bytree': 0.7}"
13,1179,1001,442,321,15,0.5176470588235293,0.34058996874379355,0.5363636363636364,0.39078796988445674,1,5,40,253,702,1,4,26,98,313,"{'subsample': 0.7, 'reg_lambda': 1, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.7}"
14,1179,1001,445,24,1,0.6855614973262032,0.4521817931922425,0.6775401069518716,0.49234510596450154,1,5,40,253,702,1,4,26,99,315,"{'subsample': 0.7, 'reg_lambda': 10, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
