feature,importance
__volume__max,0.03879310344827587
__volume__min,0.03735632183908047
__curvature__min__min,0.03735632183908047
_bifurcation__bifurcation__points_angle__std,0.03735632183908047
__curvature__min__mean,0.03591954022988506
__tortuosity__max,0.03448275862068966
__tortuosity__mean,0.03448275862068966
__curvature__q1__mean,0.03304597701149426
__length__mean,0.03304597701149426
__curvature__sd__mean,0.03160919540229886
__volume__mean,0.03160919540229886
__length__min,0.030172413793103453
__curvature__q1__max,0.02873563218390805
__curvature__q1__min,0.02729885057471265
__curvature__mean__max,0.02729885057471265
__curvature__sd__min,0.025862068965517244
__curvature__min__max,0.024425287356321844
__curvature__mean__min,0.024425287356321844
__curvature__mean__mean,0.02155172413793104
_bifurcation__bifurcation__points_angle__max,0.02155172413793104
__curvature__median__max,0.020114942528735635
__length__max,0.020114942528735635
__curvature__sd__max,0.018678160919540235
_bifurcation__angles__seg1/seg2__max,0.018678160919540235
_bifurcation__bifurcation__points_angle__min,0.018678160919540235
_bifurcation__angles__seg1/seg2__min,0.018678160919540235
__curvature__q3__max,0.01580459770114943
__curvature__q3__min,0.01580459770114943
_bifurcation__angles__seg1/seg3__max,0.014367816091954025
__tortuosity__min,0.014367816091954025
__curvature__median__mean,0.014367816091954025
_bifurcation__bifurcation__points_angle__mean,0.014367816091954025
_bifurcation__angles__seg1/seg2__mean,0.012931034482758622
_bifurcation__angles__seg2/seg3__mean,0.012931034482758622
_bifurcation__angles__seg1/seg3__mean,0.012931034482758622
_bifurcation__angles__seg2/seg3__min,0.01149425287356322
_bifurcation__angles__seg1/seg3__min,0.01149425287356322
_bifurcation__angles__seg2/seg3__max,0.01149425287356322
__curvature__median__min,0.011015325670498085
__radius__mean__min,0.010536398467432952
__curvature__q3__mean,0.010536398467432952
__curvature__max__min,0.010057471264367818
__radius__sd__max,0.008620689655172415
__radius__max__mean,0.008141762452107282
__radius__mean__mean,0.007183908045977012
__radius__mean__max,0.007183908045977012
__radius__max__min,0.007183908045977012
__curvature__max__max,0.007183908045977012
__radius__sd__min,0.00574712643678161
__radius__sd__mean,0.00574712643678161
__curvature__max__mean,0.004310344827586208
__radius__max__max,0.002873563218390805
_bifurcation__bifurcation__dist_angle__count,0.0
_bifurcation__bifurcation__points_angle__count,0.0
_bifurcation__angles__seg1/seg2__std,0.0
_bifurcation__angles__seg1/seg2__count,0.0
_bifurcation__angles__seg1/seg3__count,0.0
_bifurcation__angles__seg2/seg3__std,0.0
_bifurcation__angles__seg2/seg3__count,0.0
