feature,importance
component_1__length__mean,0.009947772737197134
component_9__length__max,0.009577353307940427
component_9__length__mean,0.00860589823675546
component_9__curvature__sd__min,0.006972423931028574
component_9__curvature__sd__max,0.006568121051965105
component_9__radius__sd__max,0.006073641374840772
component_9__curvature__sd__mean,0.0052456375075843635
component_8__curvature__sd__mean,0.005181880955331545
component_8__curvature__sd__min,0.004970033060638767
component_5__radius__max__mean,0.004921011903389839
component_1__radius__sd__mean,0.004593559592500916
component_5__volume__min,0.004453582695331182
component_9__tortuosity__mean,0.004191649586498065
component_5__radius__max__max,0.004182225692058234
component_8__curvature__max__mean,0.004090793516110448
component_8__curvature__mean__mean,0.003960098593488224
component_9__radius__sd__mean,0.003818660784765437
component_20__curvature__mean__count,0.003786342327812997
component_21__volume__max,0.003514435954954287
component_5__radius__median__min,0.003438203904596948
component_20__radius__median__min,0.0034150305986233565
component_20__radius__min__min,0.0033325540864255266
component_9__radius__min__max,0.003253246266048716
component_20__radius__median__count,0.0032022974331466303
component_1__volume__mean,0.003177187249732658
component_21__radius__min__max,0.0031668346857316987
component_8__tortuosity__mean,0.0031396184692974527
component_1__length__std,0.0031348977276535674
component_5__volume__mean,0.0030492863224270816
component_9__curvature__max__min,0.003032257993782763
component_1__tortuosity__mean,0.003016793426225205
component_6__curvature__median__min,0.002970862010936803
component_5__radius__q3__max,0.0029676142870787275
component_8__length__mean,0.0029518318964576007
component_1__curvature__sd__std,0.002917286507067129
component_1__volume__max,0.0029110493450597414
component_7__radius__max__max,0.002877626908099106
component_8__radius__max__min,0.002860385885174901
component_1__radius__sd__max,0.0028546832132136345
component_8__curvature__sd__max,0.002836760506179366
component_20__radius__mean__max,0.0028123275711749406
component_5__radius__mean__max,0.0027984825352247783
component_9__curvature__q3__mean,0.0027461979594650006
component_9__volume__max,0.0027078984648942327
component_21__tortuosity__max,0.0026967704881475847
component_1_bifurcation__angles__pair3__mean,0.0026468527243508626
component_8__radius__max__mean,0.0026428849901748925
component_9__curvature__max__mean,0.0026366726753208375
component_8__volume__mean,0.002539881018823064
component_7__radius__q3__mean,0.0024934835702283323
component_9__radius__sd__min,0.0024870386640716015
component_9__curvature__mean__mean,0.002486422832775274
component_21__radius__mean__mean,0.002485123743814088
component_23__radius__q3__mean,0.002473330563642938
component_20__radius__q1__min,0.002468190039585719
component_7__volume__min,0.002466555447137207
component_1__radius__q3__max,0.0024409063914479544
component_5__radius__min__max,0.0024357850975389173
component_10__radius__sd__mean,0.002424107745914132
component_8__length__min,0.0024089178029039434
component_9__length__min,0.0024074194126431237
component_20__curvature__max__count,0.002381853553882049
component_8__radius__q3__min,0.002322227598063897
component_5__tortuosity__mean,0.0022896886136734877
component_1__tortuosity__min,0.00226199484749943
component_19__curvature__max__max,0.00225884443614125
component_7__volume__mean,0.0022567872697033774
component_25__curvature__max__count,0.0022432992019665384
component_1__radius__mean__mean,0.0022342891119353837
component_19__length__max,0.002233228593807306
component_21__radius__q1__max,0.002210234773701285
component_1__radius__sd__min,0.0021962571095779397
component_21__radius__q3__max,0.0021884315742167716
component_20__radius__q3__max,0.002178540116200021
component_23__radius__median__max,0.0021778355612415675
component_15__radius__q3__min,0.002175298149352086
component_8__radius__sd__mean,0.0021539467525533746
component_1__radius__median__mean,0.0021284314021322954
component_20__radius__mean__mean,0.002113454130058671
component_8__volume__min,0.002104961970397508
component_9__radius__q1__mean,0.002093310241193724
component_7__volume__max,0.0020703482225273833
component_22__radius__max__count,0.0020347781173129364
component_9__volume__min,0.0020324207503521906
component_22__radius__sd__count,0.0020240730359557596
component_22__volume__max,0.00202324104860504
component_8__radius__sd__min,0.001977580801836123
component_5__radius__sd__max,0.0019767244435329066
component_9__curvature__q3__min,0.001961464603233293
component_20__radius__max__mean,0.001959874480671608
component_5__radius__min__mean,0.0019492041602946042
component_5__radius__q3__min,0.0019433905197800666
component_4__radius__min__max,0.0019363555336434413
component_10__curvature__max__mean,0.001928979493232912
component_21__radius__sd__count,0.0019276446205671147
component_5__radius__min__min,0.0019273732238807807
component_20__curvature__min__count,0.0019218479857351111
