feature,importance
component_1__segment__end__max,0.04248503131197022
component_1_bifurcation__bifurcation__midpoint__max,0.03557323502194528
component_1__segment__end__mean,0.03344040877683138
component_1__segment__start__mean,0.03000144642199898
component_1__segment__start__max,0.02836217111541456
component_1_bifurcation__bifurcation__midpoint__mean,0.027002774485446395
component_1_bifurcation__bifurcation__midpoint__std,0.02104441064314806
component_1__segment__end__std,0.020549111874852224
component_1__segment__end__min,0.020338517537099976
component_1__segment__start__std,0.019085186690331938
component_1__radius__max__mean,0.018466153990741842
component_1__segment__start__min,0.017583367335628798
component_1__radius__mean__mean,0.016758302274100665
component_1__radius__median__mean,0.016044383942855515
component_1__volume__std,0.016034909294923433
component_1__radius__q3__mean,0.015582920997546169
component_1__volume__mean,0.014810846557386619
component_1__volume__max,0.014190250254326077
component_1__radius__sd__mean,0.013927139823948581
component_1_bifurcation__bifurcation__midpoint__min,0.013855957422434778
