feature,unilateral_mean,unilateral_std,bilateral_mean,bilateral_std,mannwhitney_p
component_1__radius__mean__count,59.23809523809524,71.33104535142026,260.31408775981527,259.23672366834495,3.6797503347935516e-98
component_1__radius__sd__count,59.23809523809524,71.33104535142026,260.31408775981527,259.23672366834495,3.6797503347935516e-98
component_1__radius__median__count,59.23809523809524,71.33104535142026,260.31408775981527,259.23672366834495,3.6797503347935516e-98
component_1__radius__median__max,1.5699778530346569,0.4979748127085831,2.061394475621754,0.4051193673811204,3.92405868233276e-63
component_1__radius__mean__max,1.5743008805507404,0.4811255896132559,2.0510778189203207,0.39989178395078434,2.2787561173838808e-62
component_1__radius__sd__max,0.2728030112641272,0.15972131366201156,0.409804511861085,0.11855925568834424,5.769711919209551e-51
component_1__radius__mean__std,0.16016333033349667,0.12918806218060092,0.26071239761289344,0.08961699427378012,1.1094363867396528e-45
component_1__radius__median__std,0.17238880371412182,0.14357525530510104,0.28444067100569626,0.09245547578468918,1.2886167056121195e-45
component_1__radius__min__mean,1.085546310634516,0.11220746443064818,1.1419819471647061,0.08275487448413807,6.987478884553598e-38
component_1__radius__q1__mean,1.1240498605862153,0.1481047046640683,1.1982888541551848,0.10049029863642533,1.66350350631695e-36
component_1__radius__median__mean,1.164786826866615,0.17872167663833322,1.2567013547338648,0.11559954360908468,8.452134722014574e-35
component_1__radius__mean__mean,1.1837799198304244,0.17679768658383427,1.2756797060634335,0.11276647290438706,1.4620781102737203e-34
component_1__radius__q3__mean,1.2241130625513508,0.21233747892244076,1.3350684386362204,0.12786074301810466,4.6276525866584517e-32
component_1__radius__max__mean,1.3788543537036382,0.2586181798722709,1.4913192205431176,0.15067722446688556,2.513789824316035e-21
component_1__radius__sd__std,0.07929728640487053,0.044764152210265896,0.10175506639330188,0.017133862372082687,1.702377374805743e-16
component_1__radius__sd__mean,0.1039952991427579,0.06354869801794782,0.13230159730437616,0.03141790955126721,4.497476994347628e-15
component_1__radius__mean__min,1.0105573749437533,0.04588636610492264,1.0036182681905914,0.023977884435495225,2.961853569618706e-08
component_1__radius__sd__min,0.011340908968698543,0.03958323928036761,0.002569154888672624,0.0235463010287949,1.3932830178484995e-07
component_1__length__mean,21.140453346603138,18.868421089919337,15.714527875037529,8.144697629206465,8.010847556065277e-05
component_1__radius__median__min,1.0040740096406728,0.04611400075373956,1.000956613308021,0.019905833469837216,0.12850809975895885
