config,seed,fold,subgroup,n_cases,auc,ap,overall_auc,overall_ap,source
cos_T80,seed123,-1,her2_enriched,,0.6325231481481481,0.7751811500931867,0.5567427939606527,0.36738853579118286,metrics.json/validation_summary
cos_T80,seed123,0,her2_enriched,21.0,0.5636363636363636,0.6451134723861996,,,predictions.csv recomputed
cos_T80,seed123,1,her2_enriched,17.0,0.42307692307692313,0.7981150071647809,,,predictions.csv recomputed
cos_T80,seed123,2,her2_enriched,13.0,0.8095238095238095,0.8690476190476191,,,predictions.csv recomputed
cos_T80,seed123,3,her2_enriched,15.0,0.5357142857142857,0.6364898989898989,,,predictions.csv recomputed
cos_T80,seed123,4,her2_enriched,20.0,0.703125,0.9173706045416572,,,predictions.csv recomputed
cos_T80,seed123,-1,her2_enriched,86.0,0.6325231481481481,0.7751811500931867,,,predictions.csv pooled
cos_T80,seed123,0,her2_intersection,16.0,0.6190476190476191,0.7476250601250601,,,predictions.csv recomputed
cos_T80,seed123,1,her2_intersection,15.0,0.4722222222222222,0.8445198320198322,,,predictions.csv recomputed
cos_T80,seed123,2,her2_intersection,12.0,0.7714285714285715,0.8242424242424242,,,predictions.csv recomputed
cos_T80,seed123,3,her2_intersection,12.0,0.5277777777777778,0.6160714285714285,,,predictions.csv recomputed
cos_T80,seed123,4,her2_intersection,13.0,0.7333333333333334,0.9123595848595848,,,predictions.csv recomputed
cos_T80,seed123,-1,her2_intersection,68.0,0.6547619047619048,0.7914920854661592,,,predictions.csv pooled
cos_T80,seed7,-1,her2_enriched,,0.5364583333333333,0.6844777663701704,0.5511285648924813,0.36408969955248605,metrics.json/validation_summary
cos_T80,seed7,0,her2_enriched,22.0,0.7083333333333334,0.8384451896787424,,,predictions.csv recomputed
cos_T80,seed7,1,her2_enriched,20.0,0.5357142857142858,0.7918110502696968,,,predictions.csv recomputed
cos_T80,seed7,2,her2_enriched,18.0,0.7321428571428572,0.9301407742584213,,,predictions.csv recomputed
cos_T80,seed7,3,her2_enriched,10.0,0.56,0.5644444444444444,,,predictions.csv recomputed
cos_T80,seed7,4,her2_enriched,16.0,0.10909090909090909,0.22216033966033968,,,predictions.csv recomputed
cos_T80,seed7,-1,her2_enriched,86.0,0.5364583333333333,0.6844777663701704,,,predictions.csv pooled
cos_T80,seed7,0,her2_intersection,16.0,0.7090909090909091,0.8207056832056833,,,predictions.csv recomputed
cos_T80,seed7,1,her2_intersection,17.0,0.6,0.8274864024864025,,,predictions.csv recomputed
cos_T80,seed7,2,her2_intersection,14.0,0.8,0.9332467532467531,,,predictions.csv recomputed
cos_T80,seed7,3,her2_intersection,8.0,0.5,0.5428571428571428,,,predictions.csv recomputed
cos_T80,seed7,4,her2_intersection,13.0,0.15000000000000002,0.28822177822177825,,,predictions.csv recomputed
cos_T80,seed7,-1,her2_intersection,68.0,0.554029304029304,0.7200359149166993,,,predictions.csv pooled
h128_d02_lfocal,seed123,-1,her2_enriched,,0.6006944444444444,0.7475123629729304,0.5483357480555132,0.3634526775650917,metrics.json/validation_summary
h128_d02_lfocal,seed123,0,her2_enriched,21.0,0.5454545454545454,0.6376251273978547,,,predictions.csv recomputed
h128_d02_lfocal,seed123,1,her2_enriched,17.0,0.40384615384615385,0.7938884644766997,,,predictions.csv recomputed
h128_d02_lfocal,seed123,2,her2_enriched,13.0,0.8095238095238095,0.8690476190476191,,,predictions.csv recomputed
h128_d02_lfocal,seed123,3,her2_enriched,15.0,0.48214285714285715,0.5605429292929293,,,predictions.csv recomputed
h128_d02_lfocal,seed123,4,her2_enriched,20.0,0.703125,0.9173706045416572,,,predictions.csv recomputed
h128_d02_lfocal,seed123,-1,her2_enriched,86.0,0.6006944444444444,0.7475123629729304,,,predictions.csv pooled
h128_d02_lfocal,seed123,0,her2_intersection,16.0,0.5873015873015873,0.734519647019647,,,predictions.csv recomputed
h128_d02_lfocal,seed123,1,her2_intersection,15.0,0.4722222222222222,0.8445198320198322,,,predictions.csv recomputed
h128_d02_lfocal,seed123,2,her2_intersection,12.0,0.7714285714285715,0.8242424242424242,,,predictions.csv recomputed
h128_d02_lfocal,seed123,3,her2_intersection,12.0,0.4444444444444445,0.5092592592592593,,,predictions.csv recomputed
h128_d02_lfocal,seed123,4,her2_intersection,13.0,0.7333333333333334,0.9123595848595848,,,predictions.csv recomputed
h128_d02_lfocal,seed123,-1,her2_intersection,68.0,0.6391941391941391,0.7782125254843327,,,predictions.csv pooled
h128_d02_lfocal,seed7,-1,her2_enriched,,0.5005787037037037,0.6569847517516593,0.5473587387524783,0.36340645836358065,metrics.json/validation_summary
h128_d02_lfocal,seed7,0,her2_enriched,22.0,0.6458333333333333,0.8354933975338388,,,predictions.csv recomputed
h128_d02_lfocal,seed7,1,her2_enriched,20.0,0.5714285714285714,0.8055598831361767,,,predictions.csv recomputed
h128_d02_lfocal,seed7,2,her2_enriched,18.0,0.7321428571428572,0.9301407742584213,,,predictions.csv recomputed
h128_d02_lfocal,seed7,3,her2_enriched,10.0,0.56,0.5644444444444444,,,predictions.csv recomputed
h128_d02_lfocal,seed7,4,her2_enriched,16.0,0.07272727272727272,0.21532051282051284,,,predictions.csv recomputed
h128_d02_lfocal,seed7,-1,her2_enriched,86.0,0.5005787037037037,0.6569847517516593,,,predictions.csv pooled
h128_d02_lfocal,seed7,0,her2_intersection,16.0,0.6727272727272727,0.8342466876557786,,,predictions.csv recomputed
h128_d02_lfocal,seed7,1,her2_intersection,17.0,0.6333333333333333,0.8387959262959263,,,predictions.csv recomputed
h128_d02_lfocal,seed7,2,her2_intersection,14.0,0.8,0.9332467532467531,,,predictions.csv recomputed
h128_d02_lfocal,seed7,3,her2_intersection,8.0,0.5,0.5428571428571428,,,predictions.csv recomputed
h128_d02_lfocal,seed7,4,her2_intersection,13.0,0.1,0.2766056166056166,,,predictions.csv recomputed
h128_d02_lfocal,seed7,-1,her2_intersection,68.0,0.5503663003663003,0.7108985789382574,,,predictions.csv pooled
h256_d02_lfocal,seed123,-1,her2_enriched,,0.5827546296296297,0.7479097170410769,0.5447374942809211,0.36041824776135256,metrics.json/validation_summary
h256_d02_lfocal,seed123,0,her2_enriched,21.0,0.509090909090909,0.6550094243874148,,,predictions.csv recomputed
h256_d02_lfocal,seed123,1,her2_enriched,17.0,0.5192307692307693,0.8345200551082903,,,predictions.csv recomputed
h256_d02_lfocal,seed123,2,her2_enriched,13.0,0.7857142857142857,0.8541666666666665,,,predictions.csv recomputed
h256_d02_lfocal,seed123,3,her2_enriched,15.0,0.5535714285714286,0.6037202380952381,,,predictions.csv recomputed
h256_d02_lfocal,seed123,4,her2_enriched,20.0,0.5625,0.872380795535304,,,predictions.csv recomputed
h256_d02_lfocal,seed123,-1,her2_enriched,86.0,0.5827546296296297,0.7479097170410769,,,predictions.csv pooled
h256_d02_lfocal,seed123,0,her2_intersection,16.0,0.5079365079365079,0.6724192474192474,,,predictions.csv recomputed
h256_d02_lfocal,seed123,1,her2_intersection,15.0,0.5833333333333334,0.8757758445258447,,,predictions.csv recomputed
h256_d02_lfocal,seed123,2,her2_intersection,12.0,0.7428571428571429,0.8051948051948052,,,predictions.csv recomputed
h256_d02_lfocal,seed123,3,her2_intersection,12.0,0.5277777777777778,0.5656084656084656,,,predictions.csv recomputed
h256_d02_lfocal,seed123,4,her2_intersection,13.0,0.5,0.8361294261294261,,,predictions.csv recomputed
h256_d02_lfocal,seed123,-1,her2_intersection,68.0,0.5613553113553112,0.7212685332310761,,,predictions.csv pooled
h256_d02_lfocal,seed7,-1,her2_enriched,,0.5625,0.6820407135591171,0.5631457793198109,0.37111683082221003,metrics.json/validation_summary
h256_d02_lfocal,seed7,0,her2_enriched,22.0,0.6875000000000001,0.8523276049930462,,,predictions.csv recomputed
h256_d02_lfocal,seed7,1,her2_enriched,20.0,0.5476190476190477,0.7390943207119678,,,predictions.csv recomputed
h256_d02_lfocal,seed7,2,her2_enriched,18.0,0.7857142857142857,0.944670292359368,,,predictions.csv recomputed
h256_d02_lfocal,seed7,3,her2_enriched,10.0,0.4,0.4692857142857143,,,predictions.csv recomputed
h256_d02_lfocal,seed7,4,her2_enriched,16.0,0.36363636363636365,0.3275124875124875,,,predictions.csv recomputed
h256_d02_lfocal,seed7,-1,her2_enriched,86.0,0.5625,0.6820407135591171,,,predictions.csv pooled
h256_d02_lfocal,seed7,0,her2_intersection,16.0,0.6727272727272728,0.8113816738816739,,,predictions.csv recomputed
h256_d02_lfocal,seed7,1,her2_intersection,17.0,0.6333333333333334,0.785988085988086,,,predictions.csv recomputed
h256_d02_lfocal,seed7,2,her2_intersection,14.0,0.825,0.942135642135642,,,predictions.csv recomputed
h256_d02_lfocal,seed7,3,her2_intersection,8.0,0.5,0.5249999999999999,,,predictions.csv recomputed
h256_d02_lfocal,seed7,4,her2_intersection,13.0,0.45,0.503051948051948,,,predictions.csv recomputed
