run_name,arm_name,fold,auc,baseline_auc,auc_delta_vs_clinical_plus_tumor_size__lr__cv
clinical_plus_tumor_size__lr__cv,clinical_plus_tumor_size,0,0.5039745627980922,0.5039745627980922,0.0
clinical_plus_tumor_size__lr__cv,clinical_plus_tumor_size,1,0.6096096096096096,0.6096096096096096,0.0
clinical_plus_tumor_size__lr__cv,clinical_plus_tumor_size,2,0.5445804195804195,0.5445804195804195,0.0
clinical_plus_tumor_size__lr__cv,clinical_plus_tumor_size,3,0.6326203208556149,0.6326203208556149,0.0
clinical_plus_tumor_size__lr__cv,clinical_plus_tumor_size,4,0.564349376114082,0.564349376114082,0.0
clinical_plus_tumor_size__xgb__cv,clinical_plus_tumor_size,0,0.47005829358770534,0.5039745627980922,-0.03391626921038682
clinical_plus_tumor_size__xgb__cv,clinical_plus_tumor_size,1,0.5665076841547431,0.6096096096096096,-0.043101925454866574
clinical_plus_tumor_size__xgb__cv,clinical_plus_tumor_size,2,0.5276223776223776,0.5445804195804195,-0.016958041958041847
clinical_plus_tumor_size__xgb__cv,clinical_plus_tumor_size,3,0.5846702317290553,0.6326203208556149,-0.047950089126559625
clinical_plus_tumor_size__xgb__cv,clinical_plus_tumor_size,4,0.48413547237076643,0.564349376114082,-0.08021390374331555
clinical_plus_tumor_size_plus_morph__lr__cv,clinical_plus_tumor_size_plus_morph,0,0.5530824942589648,0.5039745627980922,0.04910793146087267
clinical_plus_tumor_size_plus_morph__lr__cv,clinical_plus_tumor_size_plus_morph,1,0.6285108638049814,0.6096096096096096,0.01890125419537181
clinical_plus_tumor_size_plus_morph__lr__cv,clinical_plus_tumor_size_plus_morph,2,0.5646853146853147,0.5445804195804195,0.020104895104895215
clinical_plus_tumor_size_plus_morph__lr__cv,clinical_plus_tumor_size_plus_morph,3,0.6245989304812833,0.6326203208556149,-0.008021390374331583
clinical_plus_tumor_size_plus_morph__lr__cv,clinical_plus_tumor_size_plus_morph,4,0.5664884135472371,0.564349376114082,0.002139037433155133
clinical_plus_tumor_size_plus_morph__xgb__cv,clinical_plus_tumor_size_plus_morph,0,0.5507860801978449,0.5039745627980922,0.046811517399752756
clinical_plus_tumor_size_plus_morph__xgb__cv,clinical_plus_tumor_size_plus_morph,1,0.6219749160925632,0.6096096096096096,0.01236530648295353
clinical_plus_tumor_size_plus_morph__xgb__cv,clinical_plus_tumor_size_plus_morph,2,0.5382867132867133,0.5445804195804195,-0.0062937062937061805
clinical_plus_tumor_size_plus_morph__xgb__cv,clinical_plus_tumor_size_plus_morph,3,0.5848484848484848,0.6326203208556149,-0.047771836007130086
clinical_plus_tumor_size_plus_morph__xgb__cv,clinical_plus_tumor_size_plus_morph,4,0.6035650623885918,0.564349376114082,0.039215686274509776
clinical_plus_tumor_size_plus_graph__lr__cv,clinical_plus_tumor_size_plus_graph,0,0.512453630100689,0.5039745627980922,0.008479067302596843
clinical_plus_tumor_size_plus_graph__lr__cv,clinical_plus_tumor_size_plus_graph,1,0.5772831655184596,0.6096096096096096,-0.03232644409115004
clinical_plus_tumor_size_plus_graph__lr__cv,clinical_plus_tumor_size_plus_graph,2,0.5466783216783216,0.5445804195804195,0.002097902097902171
clinical_plus_tumor_size_plus_graph__lr__cv,clinical_plus_tumor_size_plus_graph,3,0.6777183600713013,0.6326203208556149,0.045098039215686336
clinical_plus_tumor_size_plus_graph__lr__cv,clinical_plus_tumor_size_plus_graph,4,0.6139037433155081,0.564349376114082,0.04955436720142614
clinical_plus_tumor_size_plus_graph__xgb__cv,clinical_plus_tumor_size_plus_graph,0,0.5037979155626214,0.5039745627980922,-0.00017664723547072825
clinical_plus_tumor_size_plus_graph__xgb__cv,clinical_plus_tumor_size_plus_graph,1,0.543190249072602,0.6096096096096096,-0.06641936053700759
clinical_plus_tumor_size_plus_graph__xgb__cv,clinical_plus_tumor_size_plus_graph,2,0.5243006993006992,0.5445804195804195,-0.020279720279720248
clinical_plus_tumor_size_plus_graph__xgb__cv,clinical_plus_tumor_size_plus_graph,3,0.5463458110516934,0.6326203208556149,-0.08627450980392148
clinical_plus_tumor_size_plus_graph__xgb__cv,clinical_plus_tumor_size_plus_graph,4,0.5187165775401069,0.564349376114082,-0.045632798573975064
clinical_plus_tumor_size_plus_kinematic__lr__cv,clinical_plus_tumor_size_plus_kinematic,0,0.5106871577459813,0.5039745627980922,0.006712594947889117
clinical_plus_tumor_size_plus_kinematic__lr__cv,clinical_plus_tumor_size_plus_kinematic,1,0.6096096096096096,0.6096096096096096,0.0
clinical_plus_tumor_size_plus_kinematic__lr__cv,clinical_plus_tumor_size_plus_kinematic,2,0.5847902097902098,0.5445804195804195,0.04020979020979032
clinical_plus_tumor_size_plus_kinematic__lr__cv,clinical_plus_tumor_size_plus_kinematic,3,0.6326203208556149,0.6326203208556149,0.0
clinical_plus_tumor_size_plus_kinematic__lr__cv,clinical_plus_tumor_size_plus_kinematic,4,0.5959001782531195,0.564349376114082,0.03155080213903749
clinical_plus_tumor_size_plus_kinematic__xgb__cv,clinical_plus_tumor_size_plus_kinematic,0,0.47447447447447444,0.5039745627980922,-0.029500088323617724
clinical_plus_tumor_size_plus_kinematic__xgb__cv,clinical_plus_tumor_size_plus_kinematic,1,0.6419360537007596,0.6096096096096096,0.03232644409114993
clinical_plus_tumor_size_plus_kinematic__xgb__cv,clinical_plus_tumor_size_plus_kinematic,2,0.6106643356643356,0.5445804195804195,0.06608391608391617
clinical_plus_tumor_size_plus_kinematic__xgb__cv,clinical_plus_tumor_size_plus_kinematic,3,0.5515151515151515,0.6326203208556149,-0.08110516934046341
clinical_plus_tumor_size_plus_kinematic__xgb__cv,clinical_plus_tumor_size_plus_kinematic,4,0.5315508021390374,0.564349376114082,-0.0327985739750446
clinical_plus_tumor_size_plus_vessel_all__lr__cv,clinical_plus_tumor_size_plus_vessel_all,0,0.5447800741918388,0.5039745627980922,0.04080551139374666
clinical_plus_tumor_size_plus_vessel_all__lr__cv,clinical_plus_tumor_size_plus_vessel_all,1,0.619148560325031,0.6096096096096096,0.009538950715421324
clinical_plus_tumor_size_plus_vessel_all__lr__cv,clinical_plus_tumor_size_plus_vessel_all,2,0.5788461538461538,0.5445804195804195,0.034265734265734316
clinical_plus_tumor_size_plus_vessel_all__lr__cv,clinical_plus_tumor_size_plus_vessel_all,3,0.6388591800356507,0.6326203208556149,0.00623885918003575
clinical_plus_tumor_size_plus_vessel_all__lr__cv,clinical_plus_tumor_size_plus_vessel_all,4,0.5942959001782531,0.564349376114082,0.029946524064171087
clinical_plus_tumor_size_plus_vessel_all__xgb__cv,clinical_plus_tumor_size_plus_vessel_all,0,0.5659777424483305,0.5039745627980922,0.06200317965023838
clinical_plus_tumor_size_plus_vessel_all__xgb__cv,clinical_plus_tumor_size_plus_vessel_all,1,0.6490019431195903,0.6096096096096096,0.039392333509980615
clinical_plus_tumor_size_plus_vessel_all__xgb__cv,clinical_plus_tumor_size_plus_vessel_all,2,0.6096153846153847,0.5445804195804195,0.0650349650349652
clinical_plus_tumor_size_plus_vessel_all__xgb__cv,clinical_plus_tumor_size_plus_vessel_all,3,0.6169340463458111,0.6326203208556149,-0.015686274509803866
clinical_plus_tumor_size_plus_vessel_all__xgb__cv,clinical_plus_tumor_size_plus_vessel_all,4,0.5905525846702318,0.564349376114082,0.02620320855614977
