attn,p3,subgroup,n_pairs,median_delta,iqr_lo,iqr_hi,wilcoxon_W,wilcoxon_p,n_pos_delta
attn_logn_h16,cos_T80,overall,15,0.004296455424274925,-0.0170068027210884,0.017417902168842092,56.0,0.846923828125,8
attn_logn_h16,h128_d02_lfocal,overall,15,0.008996212121212044,-0.014142499104905115,0.01831960854517245,48.0,0.52447509765625,9
attn_logn_h16,h256_d02_lfocal,overall,15,0.007518796992481147,-0.02715121136173776,0.01789528610487262,58.0,0.93408203125,9
attn_h64,cos_T80,overall,15,0.010890151515151492,-0.02188996486752587,0.02100489318534432,57.0,0.890380859375,9
attn_h64,h128_d02_lfocal,overall,15,0.007518796992481147,-0.015206589763098188,0.027151211361737704,51.0,0.638671875,9
attn_h64,h256_d02_lfocal,overall,15,-0.0005918560606060774,-0.025994729281265894,0.018259935553168682,55.0,0.803955078125,7
attn_logn_h16,cos_T80,her2_enriched,15,-0.03846153846153849,-0.11086309523809529,0.0625,44.0,0.389404296875,6
attn_logn_h16,h128_d02_lfocal,her2_enriched,15,-0.051948051948051854,-0.09761904761904766,0.056919642857142905,46.0,0.45428466796875,6
attn_logn_h16,h256_d02_lfocal,her2_enriched,15,-0.0317460317460318,-0.07321428571428573,0.05248917748917753,45.5,0.4262483218042368,6
attn_h64,cos_T80,her2_enriched,15,0.019230769230769218,-0.1603571428571429,0.14772727272727282,59.0,0.97796630859375,8
attn_h64,h128_d02_lfocal,her2_enriched,15,0.03846153846153849,-0.1603571428571429,0.1943181818181819,52.0,0.67877197265625,8
attn_h64,h256_d02_lfocal,her2_enriched,15,5.551115123125783e-17,-0.10989010989010992,0.13906250000000003,53.0,0.7197265625,8
attn_logn_h16,cos_T80,her2_intersection_n68,15,-0.03333333333333344,-0.0946428571428572,0.03611111111111115,51.0,0.638671875,7
attn_logn_h16,h128_d02_lfocal,her2_intersection_n68,15,-0.03333333333333344,-0.11964285714285716,0.0714285714285714,51.5,0.67877197265625,6
attn_logn_h16,h256_d02_lfocal,her2_intersection_n68,15,0.0,-0.09285714285714286,0.06481481481481483,59.0,0.9773355078878551,7
attn_h64,cos_T80,her2_intersection_n68,15,0.02777777777777779,-0.16250000000000003,0.14642857142857152,56.0,0.846923828125,8
attn_h64,h128_d02_lfocal,her2_intersection_n68,15,0.02777777777777779,-0.2071428571428572,0.10595238095238102,56.0,0.846923828125,8
attn_h64,h256_d02_lfocal,her2_intersection_n68,15,-0.08333333333333337,-0.125,0.07023809523809521,51.0,0.6290532617532246,5
attn_logn_h16,cos_T80,triple_negative,15,-0.0038850038850039015,-0.010602061337355417,0.012646024935093203,59.0,0.97796630859375,7
attn_logn_h16,h128_d02_lfocal,triple_negative,15,0.004516711833784992,-0.01606611806483177,0.03695706144348848,56.0,0.846923828125,8
attn_logn_h16,h256_d02_lfocal,triple_negative,15,-0.021390374331550666,-0.048980439850005164,0.01975552627726551,37.0,0.207763671875,6
attn_h64,cos_T80,triple_negative,15,0.020979020979020935,-0.06233736790141514,0.05722639933166254,59.0,0.97796630859375,8
attn_h64,h128_d02_lfocal,triple_negative,15,0.035507246376811685,-0.0627587468891816,0.062035101121788394,59.0,0.97796630859375,8
attn_h64,h256_d02_lfocal,triple_negative,15,0.0019607843137255943,-0.06912750695359388,0.05236127736803492,51.0,0.638671875,8
attn_logn_h16,cos_T80,luminal_a,15,0.01588983050847459,-0.0038919311095372278,0.054900744416873454,37.0,0.207763671875,10
attn_logn_h16,h128_d02_lfocal,luminal_a,15,0.02130177514792886,0.0085021476665893,0.054900744416873454,34.0,0.15142822265625,12
attn_logn_h16,h256_d02_lfocal,luminal_a,15,0.022580645161290325,-0.0026438211819567736,0.05446698588709675,33.0,0.1353759765625,11
attn_h64,cos_T80,luminal_a,15,0.03211805555555558,-0.00992555831265507,0.06163692158604539,31.0,0.10537319960472753,10
attn_h64,h128_d02_lfocal,luminal_a,15,0.041791044776119335,-0.00992555831265507,0.06422543408672032,28.0,0.07348580905179351,10
attn_h64,h256_d02_lfocal,luminal_a,15,0.025390625,-0.024102854323567402,0.06915475377309394,29.0,0.083251953125,9
attn_logn_h16,cos_T80,luminal_b,15,-0.021008403361344574,-0.054197530864197596,0.032765151515151525,51.0,0.638671875,6
attn_logn_h16,h128_d02_lfocal,luminal_b,15,-1.1102230246251565e-16,-0.0537081339712919,0.045265151515151536,60.0,1.0,7
attn_logn_h16,h256_d02_lfocal,luminal_b,15,0.006666666666666599,-0.0308823529411765,0.03537414965986396,56.0,0.846923828125,8
attn_h64,cos_T80,luminal_b,15,-0.004784688995215336,-0.05182599355531692,0.00520833333333337,37.0,0.25329154888069993,4
attn_h64,h128_d02_lfocal,luminal_b,15,-0.010526315789473661,-0.03864750445632803,0.04969135802469132,52.0,0.7114407908852416,5
attn_h64,h256_d02_lfocal,luminal_b,15,-0.0072727272727273196,-0.0834928229665072,0.046875,52.0,0.67877197265625,7
