run_name,arm_name,fold,auc,baseline_auc,auc_delta_vs_clinical_plus_tumor_size__lr__cv
clinical_plus_tumor_size__lr__cv,clinical_plus_tumor_size,0,0.562096079276174,0.562096079276174,0.0
clinical_plus_tumor_size__lr__cv,clinical_plus_tumor_size,1,0.606060606060606,0.606060606060606,0.0
clinical_plus_tumor_size__lr__cv,clinical_plus_tumor_size,2,0.5842532467532469,0.5842532467532469,0.0
clinical_plus_tumor_size__lr__cv,clinical_plus_tumor_size,3,0.6251623376623376,0.6251623376623376,0.0
clinical_plus_tumor_size__lr__cv,clinical_plus_tumor_size,4,0.5602813852813853,0.5602813852813853,0.0
clinical_plus_tumor_size__xgb__cv,clinical_plus_tumor_size,0,0.5264971994829815,0.562096079276174,-0.03559887979319254
clinical_plus_tumor_size__xgb__cv,clinical_plus_tumor_size,1,0.6014069264069265,0.606060606060606,-0.004653679653679466
clinical_plus_tumor_size__xgb__cv,clinical_plus_tumor_size,2,0.5715909090909091,0.5842532467532469,-0.012662337662337708
clinical_plus_tumor_size__xgb__cv,clinical_plus_tumor_size,3,0.516017316017316,0.6251623376623376,-0.1091450216450216
clinical_plus_tumor_size__xgb__cv,clinical_plus_tumor_size,4,0.5357142857142857,0.5602813852813853,-0.02456709956709957
clinical_plus_tumor_size_plus_morph__lr__cv,clinical_plus_tumor_size_plus_morph,0,0.5264971994829815,0.562096079276174,-0.03559887979319254
clinical_plus_tumor_size_plus_morph__lr__cv,clinical_plus_tumor_size_plus_morph,1,0.60254329004329,0.606060606060606,-0.0035173160173159745
clinical_plus_tumor_size_plus_morph__lr__cv,clinical_plus_tumor_size_plus_morph,2,0.5608766233766235,0.5842532467532469,-0.023376623376623384
clinical_plus_tumor_size_plus_morph__lr__cv,clinical_plus_tumor_size_plus_morph,3,0.6142316017316019,0.6251623376623376,-0.010930735930735791
clinical_plus_tumor_size_plus_morph__lr__cv,clinical_plus_tumor_size_plus_morph,4,0.5426948051948052,0.5602813852813853,-0.017586580086580095
clinical_plus_tumor_size_plus_morph__xgb__cv,clinical_plus_tumor_size_plus_morph,0,0.5003231365790608,0.562096079276174,-0.0617729426971132
clinical_plus_tumor_size_plus_morph__xgb__cv,clinical_plus_tumor_size_plus_morph,1,0.5466991341991343,0.606060606060606,-0.05936147186147167
clinical_plus_tumor_size_plus_morph__xgb__cv,clinical_plus_tumor_size_plus_morph,2,0.53495670995671,0.5842532467532469,-0.049296536796536894
clinical_plus_tumor_size_plus_morph__xgb__cv,clinical_plus_tumor_size_plus_morph,3,0.5504329004329004,0.6251623376623376,-0.07472943722943726
clinical_plus_tumor_size_plus_morph__xgb__cv,clinical_plus_tumor_size_plus_morph,4,0.5340909090909091,0.5602813852813853,-0.02619047619047621
clinical_plus_tumor_size_plus_graph__lr__cv,clinical_plus_tumor_size_plus_graph,0,0.5056010340370529,0.562096079276174,-0.05649504523912108
clinical_plus_tumor_size_plus_graph__lr__cv,clinical_plus_tumor_size_plus_graph,1,0.5956168831168831,0.606060606060606,-0.010443722943722866
clinical_plus_tumor_size_plus_graph__lr__cv,clinical_plus_tumor_size_plus_graph,2,0.5237012987012988,0.5842532467532469,-0.06055194805194808
clinical_plus_tumor_size_plus_graph__lr__cv,clinical_plus_tumor_size_plus_graph,3,0.6081709956709955,0.6251623376623376,-0.016991341991342113
clinical_plus_tumor_size_plus_graph__lr__cv,clinical_plus_tumor_size_plus_graph,4,0.556439393939394,0.5602813852813853,-0.0038419913419912577
clinical_plus_tumor_size_plus_graph__xgb__cv,clinical_plus_tumor_size_plus_graph,0,0.49552994398965966,0.562096079276174,-0.06656613528651434
clinical_plus_tumor_size_plus_graph__xgb__cv,clinical_plus_tumor_size_plus_graph,1,0.5547619047619047,0.606060606060606,-0.05129870129870129
clinical_plus_tumor_size_plus_graph__xgb__cv,clinical_plus_tumor_size_plus_graph,2,0.5687229437229437,0.5842532467532469,-0.015530303030303116
clinical_plus_tumor_size_plus_graph__xgb__cv,clinical_plus_tumor_size_plus_graph,3,0.5688311688311689,0.6251623376623376,-0.05633116883116873
