run_name,arm_name,model_family,split_mode,selected_features,status,n_features,n_samples,auc_mean,auc_std,ap_mean,ap_std,accuracy_mean,accuracy_std,auc_mean_delta_vs_clinical_plus_tumor_size__lr__cv,auc_fold_delta_mean_vs_clinical_plus_tumor_size__lr__cv,auc_fold_delta_std_vs_clinical_plus_tumor_size__lr__cv
clinical_plus_tumor_size__lr__cv,clinical_plus_tumor_size,lr,cv,"clinical,tumor_size",ok,17,1491,0.58757073100675,0.02513832270912476,0.3670681443277922,0.019036407031257273,,,0.0,0.0,0.0
clinical_plus_tumor_size__xgb__cv,clinical_plus_tumor_size,xgb,cv,"clinical,tumor_size",ok,17,1491,0.5502453273424838,0.03168540542873644,0.345916692147462,0.025312739542118663,,,-0.03732540366426618,-0.03732540366426618,0.041831570343026335
clinical_plus_tumor_size_plus_morph__lr__cv,clinical_plus_tumor_size_plus_morph,lr,cv,"clinical,tumor_size,morph",ok,67,1491,0.5693687039658604,0.03386683026902949,0.361141674886,0.03161256289813046,,,-0.01820202704088958,-0.018202027040889558,0.012230271053119952
clinical_plus_tumor_size_plus_morph__xgb__cv,clinical_plus_tumor_size_plus_morph,xgb,cv,"clinical,tumor_size,morph",ok,67,1491,0.5333005580517429,0.01768568245291655,0.328096272674521,0.025565514625223575,,,-0.05427017295500702,-0.054270172955007044,0.018124574477997084
clinical_plus_tumor_size_plus_graph__lr__cv,clinical_plus_tumor_size_plus_graph,lr,cv,"clinical,tumor_size,graph",ok,72,1491,0.5579059210931249,0.03963988517613218,0.3441183529776336,0.023233777674801847,,,-0.02966480991362508,-0.02966480991362508,0.026789745064401682
clinical_plus_tumor_size_plus_graph__xgb__cv,clinical_plus_tumor_size_plus_graph,xgb,cv,"clinical,tumor_size,graph",ok,72,1491,0.5515951662871095,0.02859130348186091,0.35296205282926324,0.03348037477730641,,,-0.035975564719640474,-0.035975564719640495,0.03202649054041128
clinical_plus_tumor_size_plus_kinematic__lr__cv,clinical_plus_tumor_size_plus_kinematic,lr,cv,"clinical,tumor_size,kinematic",ok,912,1491,0.5860627603044664,0.026792932428255152,0.3659762180231033,0.019168815095139454,,,-0.0015079707022835898,-0.0015079707022834787,0.0033719249983839555
clinical_plus_tumor_size_plus_kinematic__xgb__cv,clinical_plus_tumor_size_plus_kinematic,xgb,cv,"clinical,tumor_size,kinematic",ok,912,1491,0.5301474118298763,0.022680785417650087,0.3372357218975431,0.027395262776303417,,,-0.0574233191768736,-0.05742331917687364,0.011641542124735487
clinical_plus_tumor_size_plus_vessel_all__lr__cv,clinical_plus_tumor_size_plus_vessel_all,lr,cv,"clinical,tumor_size,morph,graph,kinematic",ok,1017,1491,0.5481135491680516,0.03295631963097046,0.3441789830447898,0.028442097822943095,,,-0.039457181838698396,-0.039457181838698376,0.019347870742929624
clinical_plus_tumor_size_plus_vessel_all__xgb__cv,clinical_plus_tumor_size_plus_vessel_all,xgb,cv,"clinical,tumor_size,morph,graph,kinematic",ok,1017,1491,0.5639351880347141,0.03164577635697133,0.3454561377709217,0.02929755015821099,,,-0.02363554297203585,-0.023635542972035805,0.020357528870117086
