outer_fold,inner_auc_mean,inner_auc_std,inner_auc_n_folds,C,l1_ratio,feature_select_enabled,feature_select_mode,feature_select_max_abs_corr,feature_select_max_zero_rate
0,0.5538108862261404,0.03118121301973199,3,0.5,0.25,True,global_topk,0.9,0.9
0,0.5538108862261404,0.03118121301973199,3,0.5,0.25,True,global_topk,0.9,0.95
0,0.5538108862261404,0.03118121301973199,3,0.5,0.25,True,global_topk,0.95,0.9
0,0.5538108862261404,0.03118121301973199,3,0.5,0.25,True,global_topk,0.95,0.95
0,0.5581115526030781,0.02978461647907118,3,0.5,0.5,True,global_topk,0.9,0.9
0,0.5581115526030781,0.02978461647907118,3,0.5,0.5,True,global_topk,0.9,0.95
0,0.5581115526030781,0.02978461647907118,3,0.5,0.5,True,global_topk,0.95,0.9
0,0.5581115526030781,0.02978461647907118,3,0.5,0.5,True,global_topk,0.95,0.95
0,0.5603871332684892,0.03051449966390225,3,0.5,0.75,True,global_topk,0.9,0.9
0,0.5603871332684892,0.03051449966390225,3,0.5,0.75,True,global_topk,0.9,0.95
0,0.5603871332684892,0.03051449966390225,3,0.5,0.75,True,global_topk,0.95,0.9
0,0.5603871332684892,0.03051449966390225,3,0.5,0.75,True,global_topk,0.95,0.95
0,0.5457012306588577,0.03192538289239557,3,1.0,0.25,True,global_topk,0.9,0.9
0,0.5457012306588577,0.03192538289239557,3,1.0,0.25,True,global_topk,0.9,0.95
0,0.5457012306588577,0.03192538289239557,3,1.0,0.25,True,global_topk,0.95,0.9
0,0.5457012306588577,0.03192538289239557,3,1.0,0.25,True,global_topk,0.95,0.95
0,0.5490970971903176,0.03254961293660871,3,1.0,0.5,True,global_topk,0.9,0.9
0,0.5490970971903176,0.03254961293660871,3,1.0,0.5,True,global_topk,0.9,0.95
0,0.5490970971903176,0.03254961293660871,3,1.0,0.5,True,global_topk,0.95,0.9
0,0.5490970971903176,0.03254961293660871,3,1.0,0.5,True,global_topk,0.95,0.95
0,0.5528639204486662,0.03210566328756205,3,1.0,0.75,True,global_topk,0.9,0.9
0,0.5528639204486662,0.03210566328756205,3,1.0,0.75,True,global_topk,0.9,0.95
0,0.5528639204486662,0.03210566328756205,3,1.0,0.75,True,global_topk,0.95,0.9
0,0.5528639204486662,0.03210566328756205,3,1.0,0.75,True,global_topk,0.95,0.95
0,0.5398368031842607,0.032921223495813313,3,2.0,0.25,True,global_topk,0.9,0.9
0,0.5398368031842607,0.032921223495813313,3,2.0,0.25,True,global_topk,0.9,0.95
0,0.5398368031842607,0.032921223495813313,3,2.0,0.25,True,global_topk,0.95,0.9
0,0.5398368031842607,0.032921223495813313,3,2.0,0.25,True,global_topk,0.95,0.95
0,0.5404194518601299,0.032193418922572596,3,2.0,0.5,True,global_topk,0.9,0.9
0,0.5404194518601299,0.032193418922572596,3,2.0,0.5,True,global_topk,0.9,0.95
0,0.5404194518601299,0.032193418922572596,3,2.0,0.5,True,global_topk,0.95,0.9
0,0.5404194518601299,0.032193418922572596,3,2.0,0.5,True,global_topk,0.95,0.95
0,0.5414711857508467,0.032233767608988724,3,2.0,0.75,True,global_topk,0.9,0.9
0,0.5414711857508467,0.032233767608988724,3,2.0,0.75,True,global_topk,0.9,0.95
0,0.5414711857508467,0.032233767608988724,3,2.0,0.75,True,global_topk,0.95,0.9
0,0.5414711857508467,0.032233767608988724,3,2.0,0.75,True,global_topk,0.95,0.95
1,0.555586839768636,0.011209243210831481,3,0.5,0.25,True,global_topk,0.9,0.9
1,0.555586839768636,0.011209243210831481,3,0.5,0.25,True,global_topk,0.9,0.95
