run_name,arm_name,model_family,split_mode,tumor_subtype,auc
clinical_plus_tumor_size_plus_vessel_all__lr__standard_cv,clinical_plus_tumor_size_plus_vessel_all,lr,standard_cv,her2_enriched,0.5732600732600732
clinical_plus_tumor_size_plus_vessel_all__lr__standard_cv,clinical_plus_tumor_size_plus_vessel_all,lr,standard_cv,luminal_a,0.5981132075471698
clinical_plus_tumor_size_plus_vessel_all__lr__standard_cv,clinical_plus_tumor_size_plus_vessel_all,lr,standard_cv,luminal_b,0.5193273092369478
clinical_plus_tumor_size_plus_vessel_all__lr__standard_cv,clinical_plus_tumor_size_plus_vessel_all,lr,standard_cv,triple_negative,0.5958872576602383
clinical_plus_tumor_size_plus_vessel_all__lr__site_group_cv,clinical_plus_tumor_size_plus_vessel_all,lr,site_group_cv,her2_enriched,0.5091575091575091
clinical_plus_tumor_size_plus_vessel_all__lr__site_group_cv,clinical_plus_tumor_size_plus_vessel_all,lr,site_group_cv,luminal_a,0.6109014675052411
clinical_plus_tumor_size_plus_vessel_all__lr__site_group_cv,clinical_plus_tumor_size_plus_vessel_all,lr,site_group_cv,luminal_b,0.5223393574297188
clinical_plus_tumor_size_plus_vessel_all__lr__site_group_cv,clinical_plus_tumor_size_plus_vessel_all,lr,site_group_cv,triple_negative,0.5330707453066653
clinical_plus_tumor_size_plus_vessel_all__xgb__standard_cv,clinical_plus_tumor_size_plus_vessel_all,xgb,standard_cv,her2_enriched,0.6758241758241758
clinical_plus_tumor_size_plus_vessel_all__xgb__standard_cv,clinical_plus_tumor_size_plus_vessel_all,xgb,standard_cv,luminal_a,0.6392033542976939
clinical_plus_tumor_size_plus_vessel_all__xgb__standard_cv,clinical_plus_tumor_size_plus_vessel_all,xgb,standard_cv,luminal_b,0.5840863453815262
clinical_plus_tumor_size_plus_vessel_all__xgb__standard_cv,clinical_plus_tumor_size_plus_vessel_all,xgb,standard_cv,triple_negative,0.5737377870990844
clinical_plus_tumor_size_plus_vessel_all__xgb__site_group_cv,clinical_plus_tumor_size_plus_vessel_all,xgb,site_group_cv,her2_enriched,0.6575091575091575
clinical_plus_tumor_size_plus_vessel_all__xgb__site_group_cv,clinical_plus_tumor_size_plus_vessel_all,xgb,site_group_cv,luminal_a,0.625925925925926
clinical_plus_tumor_size_plus_vessel_all__xgb__site_group_cv,clinical_plus_tumor_size_plus_vessel_all,xgb,site_group_cv,luminal_b,0.5936244979919678
clinical_plus_tumor_size_plus_vessel_all__xgb__site_group_cv,clinical_plus_tumor_size_plus_vessel_all,xgb,site_group_cv,triple_negative,0.5381860964755231
