fold,original_feature,kept_feature,feature_block,correlation_to_kept,pearson_abs_to_kept,spearman_abs_to_kept,drop_reason,semantic_group
0,normalized_ratios_near_length_per_skeleton_edge,normalized_ratios_near_length_per_tumor_equiv_radius,graph,0.9711,0.7182,0.9711,near_duplicate,graph_greedy_group_0
0,normalized_ratios_near_length_fraction_of_total,normalized_ratios_near_length_per_tumor_equiv_radius,graph,0.9732,0.7498,0.9732,near_duplicate,graph_greedy_group_0
0,normalized_ratios_near_length_per_shell_mm3,normalized_ratios_near_length_per_tumor_equiv_radius,graph,0.9754,0.8228,0.9754,near_duplicate,graph_greedy_group_0
0,tumor_burden_inside_or_near_volume_burden_mm3,normalized_ratios_near_length_per_tumor_equiv_radius,graph,0.9797,0.8163,0.9797,near_duplicate,graph_greedy_group_0
0,tumor_burden_inside_or_near_length_mm,normalized_ratios_near_length_per_tumor_equiv_radius,graph,0.9924,0.9212,0.9924,near_duplicate,graph_greedy_group_0
0,caliber_heterogeneity_near_tumor_near_node_count,normalized_ratios_near_length_per_tumor_equiv_radius,graph,0.9865,0.9056,0.9865,near_duplicate,graph_greedy_group_0
0,per_shell_topology_shell_2_5mm_shell_length_mm,normalized_ratios_near_length_per_tumor_equiv_radius,graph,0.9713,0.8697,0.9713,near_duplicate,graph_greedy_group_0
0,normalized_ratios_near_volume_fraction_of_total,normalized_ratios_near_volume_per_skeleton_edge,graph,0.995,0.9465,0.995,near_duplicate,graph_greedy_group_1
0,per_shell_topology_shell_2_5mm_shell_volume_fraction_of_total_graph_volume,normalized_ratios_near_volume_per_skeleton_edge,graph,0.9735,0.8127,0.9735,near_duplicate,graph_greedy_group_1
0,normalized_ratios_near_volume_per_shell_mm3,per_shell_topology_shell_2_5mm_shell_volume_density_mm3_per_shell_mm3,graph,0.9767,0.8737,0.9767,near_duplicate,graph_greedy_group_2
0,per_shell_topology_shell_2_5mm_shell_length_density_mm_per_shell_mm3,per_shell_topology_shell_2_5mm_shell_volume_density_mm3_per_shell_mm3,graph,0.9805,0.8756,0.9805,near_duplicate,graph_greedy_group_2
0,per_shell_topology_shell_2_5mm_node_density_per_shell_mm3,per_shell_topology_shell_2_5mm_shell_volume_density_mm3_per_shell_mm3,graph,0.9708,0.8576,0.9708,near_duplicate,graph_greedy_group_2
0,per_shell_topology_shell_2_5mm_edge_density_per_shell_mm3,per_shell_topology_shell_2_5mm_shell_volume_density_mm3_per_shell_mm3,graph,0.9757,0.8531,0.9757,near_duplicate,graph_greedy_group_2
0,per_shell_topology_shell_2_5mm_shell_volume_burden_mm3_per_tumor_mm3,per_shell_topology_shell_2_5mm_shell_volume_density_mm3_per_shell_mm3,graph,0.9798,0.8624,0.9798,near_duplicate,graph_greedy_group_2
0,per_shell_topology_shell_5_10mm_node_density_per_shell_mm3,per_shell_topology_shell_5_10mm_shell_length_density_mm_per_shell_mm3,graph,0.9897,0.978,0.9897,near_duplicate,graph_greedy_group_3
0,per_shell_topology_shell_5_10mm_edge_density_per_shell_mm3,per_shell_topology_shell_5_10mm_shell_length_density_mm_per_shell_mm3,graph,0.987,0.9724,0.987,near_duplicate,graph_greedy_group_3
0,per_shell_topology_shell_5_10mm_node_density_per_shell_voxel,per_shell_topology_shell_5_10mm_shell_length_density_mm_per_shell_mm3,graph,0.9781,0.9454,0.9781,near_duplicate,graph_greedy_group_3
0,per_shell_topology_shell_5_10mm_edge_density_per_shell_voxel,per_shell_topology_shell_5_10mm_shell_length_density_mm_per_shell_mm3,graph,0.979,0.9449,0.979,near_duplicate,graph_greedy_group_3
0,per_shell_topology_shell_10_20mm_node_density_per_shell_mm3,per_shell_topology_shell_10_20mm_shell_length_density_mm_per_shell_mm3,graph,0.9887,0.9784,0.9887,near_duplicate,graph_greedy_group_4
0,per_shell_topology_shell_10_20mm_edge_density_per_shell_mm3,per_shell_topology_shell_10_20mm_shell_length_density_mm_per_shell_mm3,graph,0.9886,0.9766,0.9886,near_duplicate,graph_greedy_group_4
0,per_shell_topology_shell_10_20mm_edge_density_per_shell_voxel,per_shell_topology_shell_10_20mm_node_density_per_shell_voxel,graph,0.9994,0.9992,0.9994,near_duplicate,graph_greedy_group_5
0,normalized_ratios_near_length_per_shell_voxel,normalized_ratios_near_volume_per_shell_voxel,graph,0.9868,0.8669,0.9868,near_duplicate,graph_greedy_group_6
0,tumor_burden_inside_or_near_volume_burden_per_tumor_mm3,normalized_ratios_near_volume_per_shell_voxel,graph,0.9829,0.8638,0.9829,near_duplicate,graph_greedy_group_6
0,per_shell_topology_shell_gt20mm_edge_density_per_shell_mm3,per_shell_topology_shell_gt20mm_shell_length_density_mm_per_shell_mm3,graph,0.9841,0.9747,0.9841,near_duplicate,graph_greedy_group_7
0,per_shell_topology_shell_gt20mm_node_density_per_shell_mm3,per_shell_topology_shell_gt20mm_shell_length_density_mm_per_shell_mm3,graph,0.984,0.975,0.984,near_duplicate,graph_greedy_group_7
0,per_shell_topology_shell_2_5mm_edge_density_per_shell_voxel,per_shell_topology_shell_2_5mm_node_density_per_shell_voxel,graph,0.9939,0.9937,0.9939,near_duplicate,graph_greedy_group_8
