fold,features_before_cleanup,features_after_cleanup,features_after_pruning,enet_after_stage2,enet_selected,xgb_auc,xgb_ap,enet_auc,enet_ap,before_clinical,before_tumor_size,before_morph,before_graph,before_kinematic,kept_clinical,kept_tumor_size,kept_morph,kept_graph,kept_kinematic,xgb_best_params
0,1215,1031,524,362,3,0.6546546546546547,0.44948488078999926,0.6553612435965377,0.4038641011688143,7,10,40,272,702,7,4,27,135,351,"{'subsample': 0.7, 'scale_pos_weight': 1, 'reg_lambda': 5, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
1,1215,1031,541,339,9,0.6986398162868751,0.47496427969965926,0.7428016251545663,0.5691400424686217,7,10,40,272,702,7,4,26,141,363,"{'subsample': 0.9, 'scale_pos_weight': 2.151219512195122, 'reg_lambda': 5, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
2,1215,1031,534,352,5,0.6543706293706295,0.43760085958662076,0.6592657342657343,0.4585982536542857,7,10,40,272,702,7,4,28,137,358,"{'subsample': 0.7, 'scale_pos_weight': 1, 'reg_lambda': 5, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
3,1215,1031,534,38,2,0.6311942959001783,0.43227471541822704,0.660427807486631,0.41606980689764694,7,10,40,272,702,7,4,26,139,358,"{'subsample': 0.7, 'scale_pos_weight': 2.15609756097561, 'reg_lambda': 10, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.03, 'colsample_bytree': 0.9}"
4,1215,1031,540,318,4,0.6525846702317291,0.44007185033239316,0.7078431372549019,0.47049845650751915,7,10,40,272,702,7,4,26,143,360,"{'subsample': 0.7, 'scale_pos_weight': 2.15609756097561, 'reg_lambda': 10, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.03, 'colsample_bytree': 0.9}"
5,1215,1031,539,43,10,0.6860978625684507,0.48510913596621813,0.7277866101395513,0.5082565709362648,7,10,40,272,702,7,4,27,137,364,"{'subsample': 0.9, 'scale_pos_weight': 2.151219512195122, 'reg_lambda': 10, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.05, 'colsample_bytree': 0.7}"
6,1215,1031,535,434,6,0.6011305423070129,0.428342344056421,0.6749690867337925,0.45296923595121025,7,10,40,272,702,7,4,26,140,358,"{'subsample': 0.9, 'scale_pos_weight': 1.075609756097561, 'reg_lambda': 5, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.7}"
7,1215,1031,534,265,6,0.6396853146853146,0.41018116159226137,0.6804195804195805,0.43702598365700474,7,10,40,272,702,7,4,26,138,359,"{'subsample': 0.9, 'scale_pos_weight': 1, 'reg_lambda': 1, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
8,1215,1031,529,483,6,0.6169340463458111,0.37399073006678546,0.6310160427807486,0.4421776973348277,7,10,40,272,702,7,4,27,137,354,"{'subsample': 0.9, 'scale_pos_weight': 1, 'reg_lambda': 1, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
9,1215,1031,540,60,4,0.7098039215686275,0.5077356204003581,0.7361853832442068,0.4960461273625274,7,10,40,272,702,7,4,26,142,361,"{'subsample': 0.9, 'scale_pos_weight': 1.078048780487805, 'reg_lambda': 5, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
10,1215,1031,546,396,8,0.6426426426426426,0.407063808691372,0.6456456456456456,0.4084600082226158,7,10,40,272,702,7,4,26,142,367,"{'subsample': 0.7, 'scale_pos_weight': 1.075609756097561, 'reg_lambda': 5, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
11,1215,1031,531,33,9,0.6739092033209679,0.464476406885339,0.7133015368309487,0.49097428057946285,7,10,40,272,702,7,4,27,136,357,"{'subsample': 0.7, 'scale_pos_weight': 2.151219512195122, 'reg_lambda': 1, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.05, 'colsample_bytree': 0.9}"
12,1215,1030,540,558,3,0.6325174825174825,0.40231375451369233,0.6561188811188812,0.4446935714612573,7,10,40,272,701,7,4,27,142,360,"{'subsample': 0.9, 'scale_pos_weight': 2.1666666666666665, 'reg_lambda': 5, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'colsample_bytree': 0.7}"
13,1215,1031,535,346,10,0.6996434937611408,0.46686885565758834,0.6668449197860964,0.4995661540051668,7,10,40,272,702,7,4,26,139,359,"{'subsample': 0.9, 'scale_pos_weight': 1, 'reg_lambda': 1, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
14,1215,1031,536,33,3,0.6998217468805704,0.5192027056815519,0.7019607843137255,0.5165323763523685,7,10,40,272,702,7,4,27,139,359,"{'subsample': 0.7, 'scale_pos_weight': 2.15609756097561, 'reg_lambda': 10, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.03, 'colsample_bytree': 0.9}"
