scan_id,cohort,xy_spacing,z_spacing,xy_out_of_range,z_out_of_range,either_out_of_range
DUKE_001,DUKE,0.8035714030265808,1.100000023841858,False,False,False
DUKE_002,DUKE,0.5859000086784363,1.3000006675720215,True,True,True
DUKE_005,DUKE,0.78125,1.0,False,False,False
DUKE_009,DUKE,0.6640999913215637,1.0999993085861206,False,False,False
DUKE_010,DUKE,0.6640999913215637,1.0,False,False,False
DUKE_012,DUKE,0.7422000169754028,1.2000017166137695,False,False,False
DUKE_019,DUKE,1.0625,1.100000023841858,True,False,True
DUKE_021,DUKE,0.7422000169754028,1.0,False,False,False
DUKE_022,DUKE,0.7366071343421936,1.100000023841858,False,False,False
DUKE_028,DUKE,0.78125,1.0,False,False,False
DUKE_032,DUKE,0.6054999828338623,1.0000005960464478,False,False,False
DUKE_034,DUKE,0.7031000256538391,1.1999986171722412,False,False,False
DUKE_040,DUKE,0.7589285969734192,1.100000023841858,False,False,False
DUKE_041,DUKE,0.6836000084877014,0.9999994039535522,False,False,False
DUKE_043,DUKE,0.6836000084877014,0.9999983906745911,False,False,False
DUKE_044,DUKE,0.7589285969734192,1.100000023841858,False,False,False
DUKE_045,DUKE,0.6640999913215637,1.0,False,False,False
DUKE_046,DUKE,0.8370535969734192,1.0,False,False,False
DUKE_048,DUKE,0.7589285969734192,1.0,False,False,False
DUKE_051,DUKE,0.7422000169754028,1.0000020265579224,False,False,False
DUKE_055,DUKE,0.6445000171661377,1.0,False,False,False
DUKE_057,DUKE,0.8035714030265808,1.5,False,True,True
DUKE_059,DUKE,0.6640999913215637,1.000001072883606,False,False,False
DUKE_060,DUKE,0.6836000084877014,1.0000005960464478,False,False,False
DUKE_061,DUKE,0.6640999913215637,0.9999976754188538,False,True,True
DUKE_064,DUKE,0.6445000171661377,1.0,False,False,False
DUKE_069,DUKE,0.6640999913215637,0.9999984502792358,False,False,False
DUKE_071,DUKE,0.6640999913215637,1.0,False,False,False
DUKE_077,DUKE,0.6836000084877014,1.0,False,False,False
DUKE_082,DUKE,0.7589285969734192,1.100000023841858,False,False,False
DUKE_086,DUKE,0.78125,1.0,False,False,False
DUKE_090,DUKE,0.6836000084877014,0.9999979734420776,False,True,True
DUKE_091,DUKE,0.7589285969734192,1.100000023841858,False,False,False
DUKE_097,DUKE,0.78125,1.0,False,False,False
DUKE_099,DUKE,0.625,1.0000027418136597,False,False,False
DUKE_101,DUKE,0.6919642686843872,1.100000023841858,False,False,False
DUKE_103,DUKE,0.7589285969734192,1.0999999046325684,False,False,False
DUKE_104,DUKE,0.8035714030265808,1.0,False,False,False
DUKE_105,DUKE,0.6445000171661377,1.0,False,False,False
DUKE_107,DUKE,0.7616999745368958,1.0000020265579224,False,False,False
DUKE_114,DUKE,0.7031000256538391,1.0000016689300537,False,False,False
DUKE_115,DUKE,0.6640999913215637,1.0,False,False,False
DUKE_116,DUKE,0.7589285969734192,1.100000023841858,False,False,False
DUKE_117,DUKE,0.6640999913215637,1.0999977588653564,False,False,False
DUKE_119,DUKE,0.7142857313156128,1.100000023841858,False,False,False
DUKE_120,DUKE,0.8035714030265808,2.5,False,True,True
DUKE_123,DUKE,0.6640999913215637,1.0,False,False,False
DUKE_129,DUKE,0.7226999998092651,0.999998927116394,False,False,False
DUKE_132,DUKE,0.7589285969734192,1.399999976158142,False,True,True
DUKE_134,DUKE,0.6836000084877014,1.0,False,False,False
DUKE_136,DUKE,0.5859000086784363,1.0,True,False,True
DUKE_137,DUKE,0.7589285969734192,1.2999999523162842,False,True,True
DUKE_141,DUKE,0.78125,1.0,False,False,False
DUKE_142,DUKE,0.7142857313156128,1.0,False,False,False
DUKE_144,DUKE,0.8035714030265808,1.0999999046325684,False,False,False
DUKE_148,DUKE,0.7031000256538391,1.0,False,False,False
DUKE_150,DUKE,0.6836000084877014,1.0,False,False,False
DUKE_156,DUKE,0.7589285969734192,1.0,False,False,False
DUKE_157,DUKE,0.6696428656578064,1.0,False,False,False
DUKE_160,DUKE,0.625,1.0,False,False,False
DUKE_163,DUKE,0.6640999913215637,1.0,False,False,False
DUKE_167,DUKE,0.7031000256538391,0.9999977350234985,False,True,True
DUKE_168,DUKE,0.78125,1.0,False,False,False
DUKE_176,DUKE,1.1875,1.2000000476837158,True,False,True
DUKE_177,DUKE,0.8035714030265808,1.0,False,False,False
DUKE_178,DUKE,0.6640999913215637,1.0000004768371582,False,False,False
DUKE_180,DUKE,0.78125,1.2999999523162842,False,True,True
DUKE_183,DUKE,0.7589285969734192,1.1999999284744263,False,False,False
DUKE_185,DUKE,0.7031000256538391,1.100000023841858,False,False,False
DUKE_189,DUKE,0.8035714030265808,1.100000023841858,False,False,False
DUKE_192,DUKE,0.8035714030265808,1.0399999618530273,False,False,False
DUKE_198,DUKE,0.7589285969734192,1.0,False,False,False
DUKE_202,DUKE,0.8035714030265808,1.0,False,False,False
DUKE_205,DUKE,0.6640999913215637,1.0,False,False,False
DUKE_211,DUKE,0.7142857313156128,1.100000023841858,False,False,False
DUKE_217,DUKE,0.5468999743461609,1.0,True,False,True
DUKE_218,DUKE,0.7226999998092651,0.9999982714653015,False,True,True
DUKE_225,DUKE,0.625,1.0,False,False,False
DUKE_228,DUKE,0.7031000256538391,1.0999983549118042,False,False,False
DUKE_233,DUKE,0.7031000256538391,0.9999988675117493,False,False,False
DUKE_234,DUKE,0.6640999913215637,1.000001072883606,False,False,False
DUKE_236,DUKE,0.7813000082969666,1.0,False,False,False
DUKE_237,DUKE,1.125,1.0999999046325684,True,False,True
DUKE_239,DUKE,0.6640999913215637,0.9999966025352478,False,True,True
DUKE_240,DUKE,0.6640999913215637,1.1999969482421875,False,False,False
DUKE_244,DUKE,0.5859000086784363,1.0,True,False,True
DUKE_250,DUKE,0.8035714030265808,1.0,False,False,False
DUKE_253,DUKE,0.78125,1.0,False,False,False
DUKE_255,DUKE,0.6640999913215637,1.0,False,False,False
DUKE_256,DUKE,0.7589285969734192,1.0,False,False,False
DUKE_258,DUKE,0.7422000169754028,1.0000016689300537,False,False,False
DUKE_260,DUKE,0.5468999743461609,1.0,True,False,True
DUKE_265,DUKE,0.8482142686843872,1.100000023841858,False,False,False
DUKE_268,DUKE,0.6696428656578064,1.0,False,False,False
DUKE_269,DUKE,0.6836000084877014,0.9999976754188538,False,True,True
DUKE_271,DUKE,1.125,1.100000023841858,True,False,True
DUKE_275,DUKE,0.7589285969734192,1.0,False,False,False
DUKE_282,DUKE,0.7589285969734192,1.0,False,False,False
DUKE_283,DUKE,0.7422000169754028,0.9999971389770508,False,True,True
DUKE_285,DUKE,0.7422000169754028,1.0999994277954102,False,False,False
DUKE_287,DUKE,0.6640999913215637,1.0,False,False,False
DUKE_290,DUKE,0.78125,1.0,False,False,False
DUKE_293,DUKE,0.8035714030265808,1.0,False,False,False
DUKE_298,DUKE,0.8008000254631042,1.1999967098236084,False,False,False
DUKE_301,DUKE,0.6640999913215637,1.0,False,False,False
DUKE_303,DUKE,0.7031000256538391,1.0,False,False,False
DUKE_304,DUKE,1.125,1.100000023841858,True,False,True
DUKE_306,DUKE,0.625,0.9999986290931702,False,False,False
DUKE_307,DUKE,0.8705357313156128,1.100000023841858,False,False,False
DUKE_313,DUKE,0.78125,1.0,False,False,False
DUKE_317,DUKE,0.7031000256538391,1.0,False,False,False
DUKE_321,DUKE,1.25,1.0999999046325684,True,False,True
DUKE_323,DUKE,0.7589285969734192,1.100000023841858,False,False,False
DUKE_328,DUKE,0.7031000256538391,1.0,False,False,False
DUKE_333,DUKE,0.6640999913215637,1.0,False,False,False
DUKE_335,DUKE,1.0,1.0999999046325684,False,False,False
DUKE_338,DUKE,0.6640999913215637,1.0,False,False,False
DUKE_345,DUKE,0.6445000171661377,1.0,False,False,False
DUKE_346,DUKE,0.7813000082969666,1.1000006198883057,False,False,False
DUKE_350,DUKE,0.7031000256538391,1.2000000476837158,False,False,False
DUKE_353,DUKE,0.7589285969734192,1.0,False,False,False
DUKE_356,DUKE,0.7589285969734192,1.100000023841858,False,False,False
DUKE_360,DUKE,0.7422000169754028,1.1999988555908203,False,False,False
DUKE_363,DUKE,1.03125,1.100000023841858,True,False,True
DUKE_368,DUKE,0.78125,1.0,False,False,False
DUKE_377,DUKE,0.7031000256538391,0.9999994039535522,False,False,False
DUKE_378,DUKE,0.6054999828338623,1.0,False,False,False
DUKE_383,DUKE,0.5663999915122986,1.0,True,False,True
DUKE_385,DUKE,0.8928571343421936,1.100000023841858,False,False,False
DUKE_386,DUKE,0.8035714030265808,1.100000023841858,False,False,False
DUKE_387,DUKE,0.6054999828338623,1.1999993324279785,False,False,False
DUKE_395,DUKE,0.6640999913215637,1.0,False,False,False
DUKE_397,DUKE,0.6640999913215637,1.0,False,False,False
DUKE_398,DUKE,0.6696428656578064,1.0,False,False,False
DUKE_399,DUKE,0.6836000084877014,1.0,False,False,False
DUKE_400,DUKE,0.6836000084877014,1.0,False,False,False
DUKE_406,DUKE,0.6836000084877014,1.1000020503997803,False,False,False
DUKE_407,DUKE,0.7031000256538391,1.0000004768371582,False,False,False
DUKE_408,DUKE,0.625,1.0000005960464478,False,False,False
DUKE_412,DUKE,0.7813000082969666,1.200000524520874,False,False,False
DUKE_414,DUKE,0.7422000169754028,1.0,False,False,False
DUKE_420,DUKE,1.25,1.2000000476837158,True,False,True
DUKE_424,DUKE,0.7226999998092651,1.0,False,False,False
DUKE_428,DUKE,0.7142857313156128,1.0,False,False,False
DUKE_429,DUKE,1.125,1.0999999046325684,True,False,True
